Precio Unitario,Cantidad en Inventario,Velocidad de Rotación,Volumen (m³),Costo de Almacenamiento,peso
62.44,283,20.0,2.38,673.54,11.32
143.1,1,8.6,5.03,5.03,13.95
112.48,219,17.6,2.72,595.68,9.88
93.81,464,17.6,9.48,4398.72,14.57
31.84,230,13.4,4.64,1067.2,5.5
31.84,455,25.1,0.6,273.0,5.57
18.13,172,8.0,7.3,1255.6,8.37
131.26,87,13.5,3.3,287.1,6.06
94.16,41,16.2,6.54,268.14,0.52
109.13,123,19.9,2.8,344.4,11.11
12.88,331,23.5,5.71,1890.01,11.4
145.79,298,11.9,7.72,2300.56,11.33
126.54,373,19.4,9.28,3461.44,5.5
39.73,417,4.6,2.62,1092.54,8.07
35.46,178,28.0,3.36,598.08,5.72
35.68,63,11.6,4.65,292.95,0.73
52.59,484,21.9,9.27,4486.68,8.66
83.47,165,0.7,9.01,1486.65,2.29
70.47,489,6.2,0.91,444.99,1.66
50.77,187,14.7,1.33,248.71,11.45
95.66,383,26.4,4.96,1899.68,0.64
29.53,209,15.9,1.08,225.72,14.41
50.9,227,27.9,3.46,785.42,7.97
61.29,432,14.6,1.49,643.68,14.75
73.85,389,14.8,6.36,2474.04,1.34
119.92,48,3.7,9.5,456.0,8.96
37.95,224,24.1,9.97,2233.28,5.57
81.99,3,7.5,3.76,11.28,12.73
92.94,372,27.0,5.99,2228.28,5.74
16.5,175,27.3,8.56,1498.0,4.28
95.06,446,28.3,1.18,526.28,12.93
33.87,99,15.7,6.9,683.1,5.93
19.11,116,20.3,4.09,474.44,0.74
142.84,270,23.4,2.07,558.9,6.16
145.19,447,4.0,4.03,1801.41,9.99
123.18,368,18.1,0.77,283.36,4.19
52.65,253,1.1,6.96,1760.88,6.76
23.67,317,15.0,2.53,802.01,1.32
105.79,415,4.7,3.12,1294.8,9.03
71.62,95,5.6,1.22,115.9,11.47
27.09,273,11.0,8.65,2361.45,6.49
79.32,380,13.0,4.94,1877.2,6.59
14.81,24,18.7,5.73,137.52,1.78
137.3,116,2.3,5.7,661.2,3.43
46.23,151,15.2,4.11,620.61,2.74
102.75,338,5.6,1.93,652.34,7.48
53.64,50,17.3,7.45,372.5,8.17
82.81,206,19.2,1.28,263.68,14.26
86.54,498,16.7,1.05,522.9,1.56
35.88,335,22.2,7.1,2378.5,9.2
145.74,79,10.1,2.1,165.9,8.13
118.52,70,23.0,3.07,214.9,7.99
141.53,27,13.0,4.76,128.52,13.16
135.28,271,14.6,4.5,1219.5,3.48
93.71,50,19.5,7.09,354.5,1.09
139.06,292,0.6,6.24,1822.08,10.25
22.39,247,19.7,6.45,1593.15,5.5
37.44,264,18.6,7.14,1884.96,0.76
16.33,79,9.4,2.93,231.47,4.14
55.55,387,2.7,3.23,1250.01,4.99
64.41,190,2.8,4.39,834.1,9.44
47.99,47,27.7,3.08,144.76,3.0
126.02,461,20.7,9.85,4540.85,6.49
59.95,361,3.9,8.14,2938.54,7.5
49.33,354,10.8,1.65,584.1,7.16
85.98,472,17.8,0.07,33.04,14.62
29.73,488,25.1,0.44,214.72,1.16
122.31,352,1.4,2.45,862.4,14.29
20.44,189,7.2,1.15,217.35,8.94
148.16,416,26.7,5.34,2221.44,12.04
118.11,256,0.4,8.58,2196.48,6.74
37.82,222,6.1,7.37,1636.14,7.08
10.77,372,28.8,2.16,803.52,13.25
124.16,241,18.4,4.0,964.0,13.49
108.96,269,7.9,5.08,1366.52,3.96
112.06,1,2.1,8.1,8.1,3.39
117.98,34,0.9,8.39,285.26,7.7
20.37,446,7.4,9.1,4058.6,13.55
60.19,79,26.5,5.1,402.9,5.17
26.22,236,12.5,6.95,1640.2,9.95
130.83,334,21.6,1.13,377.42,10.77
97.26,377,27.6,5.66,2133.82,11.79
56.33,349,12.3,2.49,869.01,8.68
18.9,98,5.8,4.32,423.36,6.34
53.54,82,15.6,6.34,519.88,14.52
55.53,455,27.3,2.58,1173.9,9.36
112.14,477,24.2,0.53,252.81,11.06
99.26,415,2.1,0.11,45.65,5.5
134.21,192,20.8,0.23,44.16,10.21
76.11,253,17.2,0.09,22.77,4.24
26.74,409,27.2,1.11,453.99,4.05
109.85,38,3.8,2.4,91.2,10.86
116.51,14,16.1,2.22,31.08,8.06
88.58,392,26.4,9.87,3869.04,10.41
117.94,347,12.4,3.07,1065.29,4.41
79.13,310,14.5,1.28,396.8,9.18
83.18,386,2.2,5.46,2107.56,6.94
69.86,209,8.4,8.58,1793.22,9.16
13.56,357,9.8,6.78,2420.46,4.72
25.1,462,28.4,2.97,1372.14,10.87
14.4,89,8.6,5.62,500.18,12.19
99.1,56,13.9,7.15,400.4,4.27
54.01,94,20.2,7.28,684.32,4.86
81.2,93,4.9,6.67,620.31,10.09
137.06,340,14.6,8.71,2961.4,10.59
44.9,85,22.2,8.7,739.5,10.71
67.45,445,26.0,5.79,2576.55,10.4
115.78,245,18.8,4.3,1053.5,6.2
42.03,22,20.1,6.42,141.24,6.23
20.78,291,3.9,8.18,2380.38,4.19
50.57,485,28.4,0.07,33.95,2.77
32.57,272,4.1,9.92,2698.24,10.54
140.16,306,23.3,1.84,563.04,1.85
123.14,122,8.0,4.71,574.62,14.1
98.68,128,28.0,8.72,1116.16,12.49
132.0,113,21.6,2.26,255.38,12.93
122.51,427,22.6,4.77,2036.79,13.65
36.12,273,6.6,1.33,363.09,6.42
134.96,336,13.3,3.96,1330.56,12.78
85.51,442,18.6,1.78,786.76,2.79
123.04,130,23.1,3.64,473.2,0.81
135.45,132,3.2,3.74,493.68,11.88
54.52,85,28.9,9.93,844.05,1.58
25.41,423,26.7,9.95,4208.85,14.83
41.91,482,8.2,1.16,559.12,10.28
69.8,350,24.7,7.26,2541.0,11.43
124.52,390,15.6,0.53,206.7,4.06
130.5,81,13.9,0.31,25.11,10.27
10.97,487,9.5,1.06,516.22,1.13
81.5,473,17.5,9.66,4569.18,12.65
68.44,325,21.9,9.41,3058.25,2.96
41.1,69,12.4,1.95,134.55,10.61
26.78,148,18.9,1.63,241.24,3.75
57.27,448,21.0,2.41,1079.68,1.49
142.01,16,21.4,5.16,82.56,7.48
55.25,307,1.7,5.7,1749.9,2.95
82.63,105,25.8,2.22,233.1,11.08
108.42,165,13.8,7.57,1249.05,3.94
60.91,488,7.9,3.1,1512.8,5.47
146.05,201,7.3,9.22,1853.22,8.73
144.74,197,14.5,6.57,1294.29,4.63
45.25,426,26.6,4.37,1861.62,5.98
79.61,185,11.4,7.9,1461.5,12.33
52.12,322,22.5,8.18,2633.96,3.1
49.88,265,3.0,2.91,771.15,1.69
15.16,363,14.3,3.4,1234.2,5.26
95.34,100,29.8,9.36,936.0,6.65
80.38,342,23.1,1.66,567.72,8.37
17.21,320,6.4,0.43,137.6,5.9
49.01,214,15.1,4.55,973.7,11.95
137.16,278,7.1,8.01,2226.78,1.07
43.54,162,12.3,7.72,1250.64,6.76
30.29,439,23.4,9.2,4038.8,6.04
78.52,157,23.2,5.34,838.38,9.89
147.99,422,6.9,1.01,426.22,14.51
43.89,251,27.7,5.89,1478.39,7.9
104.1,366,17.8,7.79,2851.14,14.81
116.63,97,11.5,0.94,91.18,4.88
43.27,18,15.1,1.73,31.14,0.95
111.95,327,18.2,0.13,42.51,2.9
61.49,449,16.8,5.94,2667.06,6.23
98.52,383,14.6,8.87,3397.21,5.09
98.69,97,15.2,6.71,650.87,1.91
85.01,1,5.4,9.82,9.82,6.77
22.64,216,24.4,0.64,138.24,5.4
126.94,132,16.3,9.03,1191.96,2.28
54.91,260,4.0,8.14,2116.4,4.79
36.11,125,23.0,3.15,393.75,13.35
15.71,82,28.0,9.74,798.68,4.88
92.73,283,28.4,2.89,817.87,10.85
104.86,171,11.1,8.89,1520.19,9.37
12.32,59,4.2,8.81,519.79,6.69
81.69,32,15.6,7.58,242.56,3.97
41.71,161,3.5,5.64,908.04,5.85
100.32,284,28.0,1.21,343.64,9.09
34.41,106,5.6,5.32,563.92,5.59
106.73,105,7.7,3.57,374.85,3.62
64.14,439,12.3,7.92,3476.88,2.19
141.14,228,11.6,7.58,1728.24,13.26
29.25,188,23.9,9.11,1712.68,6.88
57.75,70,13.7,0.16,11.2,9.57
25.89,318,5.2,8.09,2572.62,7.61
139.46,464,8.1,9.39,4356.96,13.15
132.83,290,15.3,7.9,2291.0,8.43
46.11,87,4.5,1.31,113.97,7.47
102.4,370,18.4,0.82,303.4,13.91
124.41,362,17.0,0.22,79.64,10.94
87.73,472,21.5,6.29,2968.88,2.12
84.15,56,28.1,6.3,352.8,3.08
43.86,113,27.4,9.87,1115.31,11.91
23.03,13,28.4,3.99,51.87,12.62
135.61,440,7.4,3.33,1465.2,8.41
136.06,18,4.0,6.25,112.5,8.54
98.63,182,9.1,8.26,1503.32,9.66
57.46,461,26.9,9.37,4319.57,6.87
58.89,113,29.2,8.03,907.39,10.36
111.63,229,25.8,4.27,977.83,2.07
135.6,171,3.4,6.35,1085.85,14.44
134.19,295,28.4,8.56,2525.2,11.38
119.18,189,12.8,4.91,927.99,9.65
99.88,426,0.4,2.17,924.42,5.09
21.78,465,13.3,1.71,795.15,2.83
