Precio Unitario,Cantidad en Inventario,Velocidad de Rotación,Volumen (m³),Costo de Almacenamiento,peso
380.79,51,36.8,7.79,397.29,9.79
951.21,488,33.2,2.49,1215.12,9.45
734.67,71,5.8,6.79,482.09,8.53
602.67,480,36.1,9.02,4329.6,1.78
164.46,48,25.1,3.86,185.28,11.08
164.43,19,44.7,7.79,148.01,9.23
67.5,262,46.0,7.25,1899.5,10.09
867.51,84,2.9,0.6,50.4,13.53
605.1,155,41.1,5.82,902.1,11.87
710.99,53,2.0,1.31,69.43,11.82
30.38,107,18.4,9.67,1034.69,13.94
970.21,357,27.2,8.12,2898.84,14.85
834.12,304,7.5,1.11,337.44,8.93
220.22,135,37.3,1.23,166.05,2.08
190.01,443,0.5,5.95,2635.85,7.16
191.57,69,8.5,3.46,238.74,11.92
311.2,11,29.1,0.36,3.96,0.9
529.51,143,35.7,5.42,775.06,1.32
437.63,192,45.8,3.88,744.96,1.47
298.32,387,35.3,1.02,394.74,11.1
615.73,378,33.6,8.02,3031.56,7.77
148.1,69,19.8,9.15,631.35,5.85
299.22,23,0.2,7.57,174.11,2.03
372.7,181,6.1,8.23,1489.63,11.12
461.51,293,26.8,2.17,635.81,5.15
787.32,9,33.8,2.64,23.76,4.35
207.68,271,20.9,2.09,566.39,9.96
519.09,387,36.6,7.65,2960.55,8.61
596.49,93,26.1,9.48,881.64,5.75
55.99,454,3.8,7.17,3255.18,9.8
611.47,17,9.7,8.82,149.94,4.43
178.82,154,42.0,6.39,984.06,12.03
74.4,405,36.3,3.88,1571.4,3.83
949.4,328,44.7,4.26,1397.28,2.8
965.98,149,6.0,0.76,113.24,11.85
810.31,377,49.5,0.32,120.64,10.76
311.57,267,10.5,6.96,1858.32,3.15
106.7,422,0.7,4.39,1852.58,2.19
687.39,328,49.9,5.53,1813.84,12.66
445.75,106,14.1,5.58,591.48,11.76
130.82,472,33.4,2.78,1312.16,5.25
500.23,381,8.9,4.76,1813.56,10.04
44.04,35,29.1,4.71,164.85,2.3
910.23,119,45.2,3.89,462.91,7.85
266.19,14,16.1,8.21,114.94,0.77
665.9,14,33.5,4.52,63.28,6.18
318.59,266,9.5,6.04,1606.64,1.59
524.87,140,31.3,8.96,1254.4,7.39
551.24,294,16.9,8.66,2546.04,6.61
193.01,364,10.6,8.91,3243.24,6.94
969.89,119,15.7,2.71,322.49,1.16
777.38,238,9.0,0.36,85.68,5.74
940.1,34,45.1,2.62,89.08,11.47
895.88,169,19.9,2.79,471.51,5.85
601.92,10,12.3,9.09,90.9,10.87
922.66,122,22.5,6.5,793.0,5.86
97.61,401,16.1,0.83,332.83,6.64
204.02,145,37.2,1.36,197.2,8.68
54.78,451,48.6,1.57,708.07,14.28
332.08,446,22.0,6.31,2814.26,2.08
394.79,223,43.1,7.36,1641.28,0.98
278.64,371,28.3,8.6,3190.6,9.32
830.45,257,7.9,9.41,2418.37,14.26
363.19,268,34.6,2.03,544.04,14.85
288.13,359,25.7,3.1,1112.9,7.52
547.27,4,32.6,2.41,9.64,7.29
149.51,426,44.5,3.59,1529.34,9.85
804.18,397,22.1,9.15,3632.55,8.56
83.81,354,45.1,5.76,2039.04,9.69
987.02,106,37.6,7.38,782.28,13.17
774.52,85,24.5,4.91,417.35,11.32
206.73,214,30.2,0.3,64.2,7.7
15.47,121,16.3,0.65,78.65,7.2
817.31,132,49.2,5.38,710.16,9.77
709.79,338,33.4,7.19,2430.22,7.11
731.72,197,2.3,2.16,425.52,7.14
773.56,19,16.4,7.22,137.18,0.74
83.3,130,31.2,8.11,1054.3,3.02
364.88,12,2.9,4.12,49.44,7.58
124.71,81,1.3,7.47,605.07,12.43
864.47,330,22.6,4.05,1336.5,4.54
627.07,354,16.7,6.79,2403.66,8.08
337.59,262,22.0,7.64,2001.68,5.5
72.92,392,13.2,9.92,3888.64,2.02
317.87,125,8.3,3.46,432.5,14.4
331.93,307,34.5,4.12,1264.84,12.89
732.31,267,25.8,1.66,443.22,1.64
641.18,447,10.1,2.05,916.35,10.94
